age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime,travelTime
33,Male,Chinese God,Indonesian,Primary School or below,0,Newspaper/ Magazine,Phy Lab,8,Basketball Court,10,Neutral,Yes,28/01/2021,55
40,Female,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,1,Social Media,Chem Lab,3,Chem Lab,5,Strongly Agree,Yes,29/01/2021,57
35,Male,Taoism,Thai,Master or above,1,Newspaper/ Magazine,Bio Lab,0,Library,4,Disagree,Yes,29/01/2021,6
54,Female,Catholicism,Filipino,Master or above,0,Friends/Extended Family/Neighbour,Canteen,8,Chem Lab,1,Neutral,No,29/01/2021,57
33,Male,Buddhism,Cantonese,University,1,School Website,Chem Lab,8,Canteen,5,Strongly Disagree,Yes,28/01/2021,51
19,Male,Islam,Indonesian,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Phy Lab,1,Library,3,Strongly Disagree,Yes,28/01/2021,60
40,Genderqueer,Hinduism,English,Master or above,2,Friends/Extended Family/Neighbour,Basketball Court,10,Canteen,8,Neutral,Yes,29/01/2021,14
53,Female,Islam,Indonesian,Master or above,1,Social Media,Basketball Court,6,Hall,1,Strongly Agree,Yes,29/01/2021,39
51,Male,Buddhism,Thai,Master or above,5,Friends/Extended Family/Neighbour,Basketball Court,10,Chem Lab,4,Agree,No,28/01/2021,6
32,Genderqueer,Islam,Mandarin,Secondary School/Associate Degree/Diploma,4,School Website,Chem Lab,2,Chem Lab,6,Strongly Disagree,,28/01/2021,27
47,Male,Islam,Mandarin,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Basketball Court,9,Basketball Court,10,Disagree,Yes,29/01/2021,42
58,Male,Islam,English,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Bio Lab,6,Hall,2,Neutral,Yes,29/01/2021,53
24,Male,Islam,Thai,Master or above,5,Social Media,Canteen,10,Canteen,5,Strongly Agree,Yes,28/01/2021,47
60,Female,Sikhism,Mandarin,Master or above,1,School Website,Hall,8,Bio Lab,7,Neutral,No,29/01/2021,14
50,Male,Chinese God,Thai,University,4,School Website,Basketball Court,1,Chem Lab,5,Neutral,No,29/01/2021,23
40,Male,Chinese God,Cantonese,University,3,Friends/Extended Family/Neighbour,Library,4,Basketball Court,9,Strongly Disagree,No,29/01/2021,28
29,Female,Confucianism,Thai,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Basketball Court,0,Phy Lab,10,Disagree,Yes,29/01/2021,47
44,Genderqueer,Buddhism,Cantonese,Secondary School/Associate Degree/Diploma,2,School Website,Phy Lab,5,Basketball Court,1,Strongly Disagree,Yes,29/01/2021,15
40,Bigender,Buddhism,Indonesian,Primary School or below,2,School Website,Chem Lab,5,Chem Lab,1,Neutral,No,28/01/2021,51
51,Male,Chinese God,Mandarin,Master or above,5,Friends/Extended Family/Neighbour,VA room,1,Hall,4,Neutral,,29/01/2021,58
45,Female,Islam,Mandarin,University,4,Friends/Extended Family/Neighbour,Phy Lab,6,Basketball Court,4,Agree,Yes,28/01/2021,27
54,Male,Hinduism,English,Master or above,5,Social Media,VA room,2,Canteen,5,Disagree,No,29/01/2021,13
32,Male,Confucianism,Cantonese,Master or above,3,Social Media,VA room,9,Library,10,Strongly Agree,No,28/01/2021,45
55,Female,Confucianism,Thai,Master or above,5,Friends/Extended Family/Neighbour,Basketball Court,9,Hall,6,Agree,,29/01/2021,60
33,Male,Protestantism,English,University,2,Social Media,VA room,3,Hall,3,Strongly Disagree,Yes,29/01/2021,32
37,Male,Chinese God,English,University,0,Social Media,Canteen,1,Canteen,1,Disagree,No,29/01/2021,54
24,Male,Taoism,English,Master or above,5,School Website,Basketball Court,4,Library,6,Neutral,No,28/01/2021,42
41,Female,Confucianism,Indonesian,Primary School or below,5,School Website,Canteen,10,Library,0,Strongly Disagree,No,28/01/2021,35
22,Male,Taoism,Thai,University,0,Friends/Extended Family/Neighbour,Basketball Court,5,Bio Lab,4,Neutral,Yes,29/01/2021,36
50,Female,Sikhism,Mandarin,University,3,School Website,Basketball Court,4,VA room,2,Disagree,No,28/01/2021,15
19,Male,Protestantism,Cantonese,University,3,Newspaper/ Magazine,Library,3,Hall,9,Strongly Agree,No,29/01/2021,25
40,Male,Buddhism,Filipino,Master or above,2,Social Media,Library,1,Canteen,8,Strongly Agree,Yes,29/01/2021,18
58,Male,Hinduism,Cantonese,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Chem Lab,2,Chem Lab,0,Disagree,Yes,29/01/2021,52
54,Female,Chinese God,Thai,University,5,Social Media,Library,10,Bio Lab,9,Disagree,Yes,28/01/2021,9
51,Male,Confucianism,Filipino,University,5,Newspaper/ Magazine,Basketball Court,7,Library,10,Agree,Yes,28/01/2021,18
23,Genderqueer,Protestantism,Thai,Primary School or below,2,Friends/Extended Family/Neighbour,Canteen,5,Canteen,3,Agree,No,29/01/2021,34
29,Male,Chinese God,Indonesian,Secondary School/Associate Degree/Diploma,5,Social Media,Basketball Court,7,Canteen,10,Agree,No,28/01/2021,38
30,Female,Taoism,Cantonese,Secondary School/Associate Degree/Diploma,0,Social Media,Basketball Court,7,VA room,0,Neutral,,28/01/2021,30
34,Female,Confucianism,Indonesian,Master or above,4,Social Media,Basketball Court,7,Library,7,Agree,,29/01/2021,36
48,Female,Confucianism,Cantonese,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,VA room,2,Chem Lab,6,Strongly Agree,No,29/01/2021,50
60,Female,Sikhism,Cantonese,University,3,Friends/Extended Family/Neighbour,Library,2,Bio Lab,10,Disagree,Yes,28/01/2021,60
55,Non-binary,Chinese God,Vietnamese,University,1,School Website,Phy Lab,7,Phy Lab,6,Neutral,No,29/01/2021,49
45,Male,Chinese God,Cantonese,University,0,Newspaper/ Magazine,Chem Lab,10,Hall,4,Disagree,No,29/01/2021,23
26,Female,Buddhism,English,Primary School or below,5,Newspaper/ Magazine,Basketball Court,3,Chem Lab,4,Neutral,No,29/01/2021,56
25,Polygender,Hinduism,Thai,University,5,School Website,VA room,10,Bio Lab,2,Strongly Disagree,No,28/01/2021,15
33,Male,Taoism,Indonesian,University,2,Friends/Extended Family/Neighbour,Hall,6,Bio Lab,1,Agree,,28/01/2021,48
44,Male,Chinese God,Filipino,Master or above,0,Social Media,VA room,3,Bio Lab,1,Neutral,Yes,29/01/2021,59
41,Female,Islam,Mandarin,Master or above,1,Newspaper/ Magazine,Bio Lab,6,Hall,10,Agree,No,29/01/2021,6
50,Female,Taoism,Thai,University,2,Newspaper/ Magazine,Library,4,VA room,3,Strongly Agree,No,29/01/2021,57
49,Female,Protestantism,Filipino,University,5,School Website,Library,0,Library,7,Strongly Disagree,No,29/01/2021,32
51,Male,Islam,Vietnamese,Master or above,1,Friends/Extended Family/Neighbour,Canteen,4,Canteen,5,Strongly Disagree,No,28/01/2021,43
26,Male,Sikhism,Cantonese,Primary School or below,5,Newspaper/ Magazine,Basketball Court,4,VA room,6,Disagree,,29/01/2021,45
20,Female,Confucianism,Cantonese,Primary School or below,1,Friends/Extended Family/Neighbour,Hall,10,Phy Lab,9,Strongly Agree,Yes,28/01/2021,43
46,Male,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,0,Social Media,Hall,5,Bio Lab,7,Strongly Agree,Yes,29/01/2021,42
19,Male,Catholicism,Indonesian,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Canteen,8,Hall,10,Strongly Agree,No,28/01/2021,52
48,Female,Protestantism,Thai,Master or above,5,School Website,Basketball Court,4,Hall,0,Disagree,No,28/01/2021,10
46,Male,Buddhism,Filipino,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Canteen,8,Phy Lab,3,Strongly Disagree,No,28/01/2021,10
37,Male,Islam,Thai,Secondary School/Associate Degree/Diploma,2,School Website,Basketball Court,9,Phy Lab,6,Strongly Disagree,Yes,28/01/2021,55
41,Male,Hinduism,Vietnamese,Master or above,5,Newspaper/ Magazine,Hall,7,VA room,9,Strongly Disagree,No,28/01/2021,48
50,Female,Islam,Filipino,Master or above,2,School Website,Hall,2,Basketball Court,5,Agree,,29/01/2021,16
47,Male,Protestantism,Mandarin,University,1,Newspaper/ Magazine,Basketball Court,4,Hall,10,Agree,Yes,29/01/2021,30
