age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime,travelTime,themeLevel
45,Female,Sikhism,English,University,3,Newspaper/ Magazine,Basketball Court,1,Canteen,10,Agree,No,28/01/2022,42,Strongly Dislike
34,Male,Sikhism,Vietnamese,Master or above,1,Social Media,Chem Lab,1,Library,2,Strongly Disagree,,29/01/2022,18,Strongly Dislike
35,Male,Protestantism,Vietnamese,Master or above,4,Social Media,Bio Lab,3,Hall,3,Agree,,29/01/2022,25,Strongly Like
49,Bigender,Sikhism,Filipino,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,VA room,6,Hall,1,Neutral,,28/01/2022,20,Partly Like
58,Female,Sikhism,Indonesian,Master or above,5,Friends/Extended Family/Neighbour,Canteen,5,VA room,0,Neutral,Yes,29/01/2022,20,Strongly Dislike
22,Male,Islam,Vietnamese,Primary School or below,0,Newspaper/ Magazine,VA room,3,Bio Lab,0,Neutral,Yes,29/01/2022,53,Strongly Dislike
53,Female,Protestantism,Thai,Master or above,5,School Website,Hall,4,Phy Lab,5,Strongly Agree,,28/01/2022,23,Strongly Like
25,Female,Chinese God,Mandarin,Master or above,1,Newspaper/ Magazine,Hall,8,Hall,3,Strongly Agree,No,29/01/2022,16,Strongly Like
45,Female,Confucianism,Mandarin,Secondary School/Associate Degree/Diploma,3,Social Media,Chem Lab,10,Hall,1,Agree,,28/01/2022,24,Normal
53,Genderfluid,Sikhism,English,University,4,Newspaper/ Magazine,Phy Lab,9,Canteen,10,Strongly Agree,No,28/01/2022,31,Partly Dislike
42,Female,Protestantism,Indonesian,Master or above,4,Social Media,VA room,8,VA room,6,Agree,,28/01/2022,39,Partly Dislike
43,Female,Sikhism,Cantonese,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Chem Lab,0,Canteen,3,Strongly Agree,No,28/01/2022,11,Strongly Dislike
28,Male,Catholicism,English,University,0,School Website,Phy Lab,6,Basketball Court,7,Neutral,Yes,28/01/2022,27,Normal
37,Male,Protestantism,Mandarin,University,1,Social Media,Phy Lab,6,Library,7,Disagree,No,28/01/2022,25,Normal
18,Male,Buddhism,Mandarin,Master or above,3,School Website,Chem Lab,2,Hall,10,Agree,,29/01/2022,52,Partly Dislike
23,Male,Confucianism,Mandarin,University,5,Social Media,VA room,5,Bio Lab,5,Strongly Agree,Yes,29/01/2022,42,Strongly Dislike
39,Female,Taoism,Mandarin,Master or above,3,School Website,Phy Lab,4,Canteen,1,Agree,Yes,28/01/2022,18,Strongly Dislike
20,Male,Confucianism,Indonesian,Secondary School/Associate Degree/Diploma,0,Social Media,Chem Lab,3,Bio Lab,10,Neutral,,28/01/2022,15,Normal
34,Female,Sikhism,Vietnamese,Master or above,0,Social Media,Basketball Court,1,Library,1,Strongly Agree,Yes,28/01/2022,32,Normal
53,Female,Islam,English,University,2,Friends/Extended Family/Neighbour,Bio Lab,3,Hall,0,Disagree,Yes,29/01/2022,60,Strongly Like
60,Male,Hinduism,Vietnamese,University,4,Friends/Extended Family/Neighbour,Phy Lab,5,Phy Lab,2,Neutral,Yes,28/01/2022,36,Strongly Like
32,Male,Chinese God,English,University,2,Newspaper/ Magazine,Basketball Court,6,VA room,5,Disagree,Yes,29/01/2022,37,Partly Dislike
54,Female,Protestantism,Filipino,Master or above,0,Friends/Extended Family/Neighbour,Chem Lab,9,VA room,3,Strongly Disagree,,29/01/2022,44,Partly Dislike
36,Male,Islam,Thai,Secondary School/Associate Degree/Diploma,2,Social Media,Phy Lab,9,Phy Lab,8,Neutral,Yes,29/01/2022,18,Strongly Like
33,Male,Protestantism,English,Secondary School/Associate Degree/Diploma,3,Social Media,Hall,8,Bio Lab,4,Agree,,29/01/2022,58,Strongly Like
53,Female,Taoism,Indonesian,University,5,Newspaper/ Magazine,Basketball Court,0,VA room,10,Disagree,Yes,29/01/2022,30,Strongly Like
18,Male,Catholicism,Mandarin,Primary School or below,1,Social Media,Canteen,4,Hall,8,Disagree,No,29/01/2022,36,Partly Dislike
58,Male,Chinese God,Filipino,Primary School or below,5,Social Media,Hall,4,Canteen,4,Strongly Agree,Yes,28/01/2022,11,Partly Like
60,Female,Buddhism,Thai,Master or above,1,School Website,Phy Lab,6,Bio Lab,3,Neutral,Yes,28/01/2022,47,Partly Dislike
45,Female,Taoism,Cantonese,Master or above,0,Social Media,Basketball Court,7,Phy Lab,4,Disagree,Yes,29/01/2022,41,Strongly Dislike
44,Male,Protestantism,English,University,2,Newspaper/ Magazine,Basketball Court,4,Library,8,Agree,No,28/01/2022,46,Partly Like
49,Female,Hinduism,Filipino,Master or above,4,Newspaper/ Magazine,Canteen,7,Canteen,2,Disagree,,28/01/2022,47,Strongly Dislike
26,Female,Protestantism,Filipino,University,0,School Website,Hall,5,VA room,0,Neutral,Yes,29/01/2022,26,Strongly Dislike
39,Male,Sikhism,Mandarin,Master or above,1,Friends/Extended Family/Neighbour,Bio Lab,3,VA room,1,Strongly Disagree,No,28/01/2022,19,Strongly Like
44,Male,Hinduism,Indonesian,Master or above,1,Newspaper/ Magazine,Library,2,VA room,0,Strongly Agree,Yes,29/01/2022,34,Strongly Dislike
26,Male,Protestantism,Mandarin,Primary School or below,3,Social Media,Hall,0,VA room,9,Agree,Yes,28/01/2022,23,Partly Dislike
57,Male,Hinduism,Vietnamese,University,3,Friends/Extended Family/Neighbour,Basketball Court,0,Basketball Court,9,Strongly Disagree,No,28/01/2022,24,Normal
42,Male,Sikhism,Indonesian,University,1,Newspaper/ Magazine,Basketball Court,8,Hall,4,Neutral,Yes,29/01/2022,34,Partly Like
38,Genderqueer,Hinduism,English,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Hall,9,Phy Lab,1,Disagree,Yes,28/01/2022,17,Strongly Dislike
31,Male,Confucianism,Filipino,University,2,Social Media,Chem Lab,1,Bio Lab,7,Strongly Disagree,No,29/01/2022,26,Normal
51,Male,Sikhism,Cantonese,Master or above,3,Newspaper/ Magazine,Library,8,Library,6,Disagree,No,28/01/2022,58,Strongly Dislike
39,Female,Taoism,Filipino,Master or above,5,Social Media,Chem Lab,7,Chem Lab,8,Disagree,Yes,29/01/2022,59,Strongly Dislike
