age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime
44,Female,Islam,Filipino,Primary School or below,5,School Website,Hall,9,Hall,10,Disagree,No,29/01/2023
43,Female,Catholicism,English,Master or above,0,Newspaper/ Magazine,Bio Lab,7,Chem Lab,4,Agree,Yes,29/01/2023
38,Female,Confucianism,Vietnamese,Primary School or below,3,Social Media,Chem Lab,5,Basketball Court,10,Disagree,Yes,29/01/2023
53,Male,Catholicism,Filipino,Primary School or below,3,Newspaper/ Magazine,Phy Lab,2,VA room,1,Disagree,Yes,28/01/2023
46,Male,Buddhism,Indonesian,Primary School or below,4,School Website,Chem Lab,6,Hall,3,Neutral,,28/01/2023
35,Female,Sikhism,Mandarin,University,3,Social Media,Canteen,3,Phy Lab,0,Agree,,29/01/2023
25,Bigender,Chinese God,Cantonese,University,4,Social Media,Chem Lab,3,VA room,5,Disagree,Yes,28/01/2023
57,Non-binary,Islam,English,Primary School or below,0,Friends/Extended Family/Neighbour,Phy Lab,6,VA room,7,Strongly Disagree,Yes,29/01/2023
19,Female,Islam,English,Master or above,1,Social Media,Phy Lab,3,Library,3,Strongly Disagree,No,29/01/2023
41,Male,Taoism,Indonesian,Master or above,2,Social Media,Hall,5,Canteen,6,Disagree,No,29/01/2023
59,Male,Chinese God,Cantonese,Secondary School/Associate Degree/Diploma,0,School Website,Phy Lab,5,VA room,0,Neutral,No,29/01/2023
18,Male,Buddhism,Vietnamese,University,3,School Website,Phy Lab,4,Library,0,Strongly Agree,No,28/01/2023
36,Female,Chinese God,Filipino,University,4,Social Media,Library,2,Phy Lab,2,Agree,Yes,28/01/2023
41,Male,Protestantism,Vietnamese,Master or above,2,School Website,Bio Lab,4,Chem Lab,2,Strongly Agree,Yes,29/01/2023
32,Male,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Phy Lab,9,Hall,1,Strongly Disagree,No,28/01/2023
20,Male,Islam,Vietnamese,Primary School or below,4,Friends/Extended Family/Neighbour,Canteen,10,Canteen,8,Agree,No,28/01/2023
34,Female,Buddhism,Cantonese,Master or above,5,Friends/Extended Family/Neighbour,Library,4,Phy Lab,5,Strongly Agree,Yes,29/01/2023
44,Female,Taoism,Filipino,Secondary School/Associate Degree/Diploma,2,School Website,Basketball Court,10,Basketball Court,3,Agree,,29/01/2023
18,Genderqueer,Islam,Cantonese,Primary School or below,4,Newspaper/ Magazine,Phy Lab,5,VA room,5,Strongly Disagree,No,28/01/2023
18,Female,Buddhism,Cantonese,Secondary School/Associate Degree/Diploma,4,School Website,Phy Lab,2,Phy Lab,2,Agree,No,29/01/2023
46,Female,Taoism,Mandarin,Primary School or below,1,Newspaper/ Magazine,Hall,8,Chem Lab,7,Strongly Agree,No,28/01/2023
44,Female,Hinduism,English,Primary School or below,1,Friends/Extended Family/Neighbour,Hall,10,Canteen,5,Agree,Yes,28/01/2023
29,Male,Catholicism,Indonesian,Secondary School/Associate Degree/Diploma,3,School Website,VA room,4,Chem Lab,8,Disagree,No,29/01/2023
60,Male,Catholicism,Vietnamese,Master or above,1,Social Media,Phy Lab,6,Chem Lab,3,Strongly Agree,Yes,28/01/2023
19,Female,Hinduism,Thai,University,2,Friends/Extended Family/Neighbour,Basketball Court,0,Basketball Court,5,Strongly Disagree,No,28/01/2023
19,Genderfluid,Hinduism,Thai,Primary School or below,2,Newspaper/ Magazine,Basketball Court,1,Hall,6,Strongly Agree,Yes,28/01/2023
27,Male,Hinduism,Filipino,Master or above,2,Newspaper/ Magazine,Basketball Court,2,Phy Lab,0,Strongly Agree,No,29/01/2023
40,Female,Catholicism,Thai,Master or above,3,School Website,Library,3,Canteen,8,Strongly Disagree,No,29/01/2023
51,Polygender,Protestantism,Filipino,University,0,Social Media,Hall,2,Chem Lab,3,Strongly Agree,Yes,28/01/2023
53,Male,Confucianism,Thai,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Library,4,Basketball Court,0,Strongly Disagree,Yes,28/01/2023
57,Female,Chinese God,Vietnamese,University,1,Social Media,Basketball Court,9,Library,1,Neutral,No,29/01/2023
41,Male,Catholicism,Cantonese,Primary School or below,0,Newspaper/ Magazine,VA room,1,Hall,6,Strongly Disagree,No,28/01/2023
53,Non-binary,Sikhism,Mandarin,Master or above,0,School Website,VA room,9,VA room,0,Agree,No,28/01/2023
51,Female,Catholicism,Vietnamese,Secondary School/Associate Degree/Diploma,3,Social Media,Canteen,8,Bio Lab,7,Neutral,No,29/01/2023
44,Bigender,Taoism,Cantonese,University,1,Newspaper/ Magazine,Chem Lab,1,Canteen,9,Agree,No,29/01/2023
43,Male,Confucianism,Cantonese,Primary School or below,0,School Website,Hall,6,Canteen,3,Neutral,Yes,28/01/2023
36,Male,Sikhism,Vietnamese,Master or above,4,Social Media,Phy Lab,9,Phy Lab,3,Neutral,No,29/01/2023
