id,gender,website,date,stayTime
9,Male,Planning,9/2/2020,33
-5,Unknown,StudentLife,5/1/2020,26
-5,Unknown,Planning,1/22/2021,5
6,Male,MainPage,2/21/2020,9
5,Female,News,1/14/2021,36
2,Female,Classroom,3/27/2020,27
-4,Unknown,Classroom,11/16/2020,19
-5,Unknown,News,11/11/2020,34
9,Male,Admission,3/25/2020,40
-1,Unknown,StudentLife,1/26/2020,26
6,Male,MainPage,9/1/2020,11
-4,Unknown,StudentLife,9/5/2020,29
-5,Unknown,Admission,1/11/2021,36
-1,Unknown,Classroom,9/1/2020,19
-4,Unknown,StudentLife,1/14/2021,5
-5,Unknown,MainPage,2/22/2020,23
-3,Unknown,Admission,4/3/2020,6
-4,Unknown,Classroom,4/24/2020,24
7,Male,Admission,9/13/2020,39
-5,Unknown,Planning,3/4/2020,32
1,Female,MainPage,11/8/2020,36
-2,Unknown,Planning,12/21/2020,33
-1,Unknown,Planning,2/21/2020,29
2,Female,News,10/29/2020,10
6,Male,MainPage,10/24/2020,16
8,Male,Admission,9/2/2020,5
3,Female,StudentLife,5/6/2020,20
-1,Unknown,MainPage,10/14/2020,10
-1,Unknown,StudentLife,9/4/2020,23
1,Female,MainPage,8/7/2020,11
6,Male,Admission,5/16/2020,27
-4,Unknown,SchoolHistory,12/1/2020,10
10,Male,Planning,8/17/2020,21
-3,Unknown,Planning,1/6/2021,11
0,Female,StudentLife,9/26/2020,16
0,Female,News,10/8/2020,31
3,Female,Classroom,9/23/2020,17
-3,Unknown,Planning,3/10/2020,22
-1,Unknown,StudentLife,6/19/2020,33
-3,Unknown,Classroom,10/24/2020,16
0,Female,News,9/11/2020,4
9,Male,StudentLife,3/14/2020,9
-4,Unknown,News,12/13/2020,40
7,Male,Classroom,11/14/2020,40
8,Male,Classroom,4/22/2020,10
0,Female,SchoolHistory,12/3/2020,3
5,Female,News,11/12/2020,5
10,Male,Admission,11/10/2020,24
1,Female,StudentLife,4/9/2020,3
6,Male,SchoolHistory,10/11/2020,24
4,Female,News,9/13/2020,29
5,Female,StudentLife,9/23/2020,18
4,Female,MainPage,1/14/2021,6
-4,Unknown,StudentLife,12/6/2020,35
-2,Unknown,MainPage,5/28/2020,19
9,Male,StudentLife,5/9/2020,11
-1,Unknown,Admission,11/11/2020,27
0,Female,News,5/19/2020,33
3,Female,StudentLife,9/22/2020,9
8,Male,StudentLife,1/5/2021,34
5,Female,StudentLife,9/12/2020,26
4,Female,StudentLife,8/7/2020,31
8,Male,Planning,10/29/2020,33
-2,Unknown,Planning,2/19/2020,9
5,Female,Planning,9/11/2020,9
2,Female,StudentLife,2/27/2020,10
8,Male,Planning,2/19/2020,12
4,Female,MainPage,12/6/2020,14
-5,Unknown,Classroom,5/27/2020,15
1,Female,Classroom,11/7/2020,19
3,Female,StudentLife,9/9/2020,5
1,Female,Admission,12/19/2020,10
8,Male,Classroom,1/18/2021,19
3,Female,News,10/8/2020,13
-2,Unknown,Planning,12/4/2020,31
0,Female,Planning,6/7/2020,37
4,Female,Admission,2/24/2020,39
-3,Unknown,News,5/28/2020,22
-2,Unknown,Planning,9/22/2020,21
7,Male,Admission,5/30/2020,38
-4,Unknown,Classroom,5/2/2020,16
-1,Unknown,Admission,9/26/2020,11
8,Male,News,2/13/2020,4
8,Male,News,12/10/2020,9
-2,Unknown,News,6/3/2020,18
