age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime,themeLevel,travelTime
55,Female,Islam,Thai,Secondary School/Associate Degree/Diploma,4,School Website,Phy Lab,2,Bio Lab,0,Agree,Yes,28/01/2020,Strongly Like,
44,Female,Taoism,Filipino,Primary School or below,0,Social Media,Canteen,3,Bio Lab,0,Agree,Yes,28/01/2020,Normal,
52,Agender,Islam,Cantonese,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Bio Lab,1,Chem Lab,6,Disagree,No,28/01/2020,Partly Like,
27,Male,Sikhism,Mandarin,University,5,Newspaper/ Magazine,Library,6,Library,7,Strongly Agree,No,29/01/2020,Normal,
27,Female,Hinduism,Thai,Master or above,4,Newspaper/ Magazine,VA room,1,Hall,8,Disagree,Yes,29/01/2020,Strongly Like,
56,Male,Buddhism,Cantonese,Master or above,5,Friends/Extended Family/Neighbour,VA room,10,Basketball Court,8,Neutral,No,28/01/2020,Normal,
50,Female,Islam,Mandarin,Master or above,0,Friends/Extended Family/Neighbour,Chem Lab,3,Hall,9,Agree,No,28/01/2020,Strongly Like,
27,Male,Chinese God,Filipino,Secondary School/Associate Degree/Diploma,4,School Website,VA room,6,Basketball Court,2,Strongly Disagree,Yes,29/01/2020,Strongly Dislike,
40,Male,Confucianism,Indonesian,Master or above,2,Friends/Extended Family/Neighbour,Chem Lab,6,VA room,9,Disagree,Yes,29/01/2020,Strongly Like,
45,Male,Chinese God,Indonesian,Primary School or below,0,Newspaper/ Magazine,Chem Lab,2,Bio Lab,3,Strongly Agree,Yes,28/01/2020,Partly Like,
26,Female,Protestantism,Cantonese,Primary School or below,0,Newspaper/ Magazine,Phy Lab,5,Chem Lab,2,Agree,No,28/01/2020,Normal,
24,Female,Confucianism,Cantonese,Master or above,3,Friends/Extended Family/Neighbour,Phy Lab,7,Hall,10,Disagree,Yes,28/01/2020,Normal,
23,Male,Protestantism,English,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,VA room,10,Basketball Court,4,Strongly Disagree,Yes,29/01/2020,Partly Like,
29,Female,Catholicism,English,University,5,School Website,Canteen,3,Phy Lab,7,Disagree,No,28/01/2020,Partly Dislike,
25,Male,Hinduism,Thai,Primary School or below,3,Social Media,VA room,8,Library,5,Agree,Yes,29/01/2020,Normal,
32,Female,Sikhism,Vietnamese,Secondary School/Associate Degree/Diploma,0,Social Media,Bio Lab,5,Library,1,Disagree,Yes,29/01/2020,Normal,
56,Female,Confucianism,Cantonese,University,5,Friends/Extended Family/Neighbour,Hall,3,VA room,9,Agree,Yes,28/01/2020,Partly Like,
52,Male,Buddhism,Thai,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Basketball Court,9,Hall,7,Strongly Disagree,No,28/01/2020,Partly Dislike,
41,Male,Catholicism,Mandarin,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Hall,6,VA room,5,Strongly Disagree,No,29/01/2020,Normal,
31,Non-binary,Sikhism,Mandarin,University,2,Social Media,Phy Lab,0,Library,2,Agree,No,29/01/2020,Partly Like,
36,Male,Confucianism,Mandarin,University,1,Friends/Extended Family/Neighbour,VA room,3,Library,0,Disagree,No,28/01/2020,Partly Dislike,
27,Female,Taoism,English,Primary School or below,0,Friends/Extended Family/Neighbour,Hall,0,Basketball Court,2,Agree,Yes,28/01/2020,Strongly Dislike,
38,Female,Chinese God,Filipino,Secondary School/Associate Degree/Diploma,3,School Website,Canteen,3,Library,5,Agree,Yes,28/01/2020,Strongly Like,
44,Female,Sikhism,Cantonese,University,4,Newspaper/ Magazine,Library,6,Basketball Court,0,Disagree,No,28/01/2020,Strongly Dislike,
34,Female,Buddhism,Filipino,Master or above,4,Social Media,Chem Lab,2,Library,8,Agree,Yes,28/01/2020,Strongly Dislike,
